Title,Genre,Premiere,Runtime,IMDB Score,Language
After the Raid,Documentary,"December 19, 2019",25,4.3,Spanish
After Maria,Documentary,"May 24, 2019",37,4.6,English/Spanish
Porta dos Fundos: The First Temptation of Christ,Comedy,"December 3, 2019",46,4.6,Portuguese
Sol Levante,Anime / Short,"April 2, 2020",4,4.7,English
American Factory: A Conversation with the Obamas ,Aftershow / Interview,"August 21, 2019",10,5.2,English
Ghosts of Sugar Land,Documentary,October 16. 2019,21,5.5,English
Sarah Cooper: Everything's Fine,Variety show,"October 27, 2020",49,5.6,English
"Out of Many, One",Documentary,"December 12, 2018",34,5.7,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,"July 16, 2019",32,5.9,English
Notes from Dunblane: Lesson from a School Shooting,Documentary,"September 28, 2018",23,5.9,English
Alien Xmas,Stop Motion,"November 20, 2020",42,6.2,English
A Tale of Two Kitchens,Documentary,"May 22, 2019",30,6.3,English/Spanish
Porta dos Fundos: The Last Hangover,Comedy,"December 21, 2018",44,6.3,Portuguese
Birders,Documentary,"September 25, 2019",37,6.4,English/Spanish
John Was Trying to Contact Aliens,Documentary,"August 20, 2020",16,6.4,English
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,"September 27, 2019",41,6.4,English
A 3 Minute Hug,Documentary,"October 28, 2019",28,6.5,English/Spanish
Canvas ,Animation / Short,"December 11, 2020",9,6.5,English
Chadwick Boseman: Portrait of an Artist,Documentary,"April 17, 2021",21,6.5,English
Life Overtakes Me,Documentary,"June 14, 2019",40,6.5,English/Swedish
What Did Jack Do?,Drama / Short,"January 20, 2020",17,6.5,English
What Would Sophia Loren Do?,Documentary,"January 15, 2021",32,6.6,English
Little Miss Sumo,Documentary,"October 28, 2019",19,6.7,JAPONES
A Love Song for Latasha,Documentary,"September 21, 2020",19,6.8,English
All in My Family,Documentary,"May 3, 2019",39,6.8,English/Mandarin
Heroin(e) ,Documentary,"September 12, 2017",39,6.8,English
The Boys in the Band: Something Personal,Aftershow / Interview,"September 30, 2020",28,6.8,English
The Trader,Documentary,"February 9, 2018",23,6.8,Georgian
Cops and Robbers,Animation / Short,"December 28, 2020",7,6.9,English
The Claudia Kishi Club,Documentary,"July 10, 2020",17,6.9,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,"May 23, 2019",30,6.9,English
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,"November 3, 2020",14,7.0,English
"Lorena, Light-Footed Woman",Documentary,"November 20, 2019",28,7.0,Spanish
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,"December 18, 2020",31,7.0,English
ReMastered: Devil at the Crossroads,Documentary,"April 26, 2019",48,7.0,English
Resurface,Documentary,"September 1, 2017",27,7.0,English
Rocko's Modern Life: Static Cling,Animation / Comedy,"August 9, 2019",45,7.0,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,"January 26, 2017",36,7.1,English
Angela's Christmas,Animation,"November 30, 2018",30,7.1,English
Angela's Christmas Wish,Animation,"December 1, 2020",47,7.1,English
Derren Brown: Sacrifice,Mentalism special,"October 19, 2018",49,7.1,English
End Game,Documentary,"May 4, 2018",40,7.1,English
"Ram Dass, Going Home",Documentary,"April 6, 2018",31,7.1,English
Rooting for Roona,Documentary,"October 15, 2020",41,7.1,Bengali
Ladies First,Documentary,"March 8, 2018",39,7.2,English/Hindi
The Road to El Camino: A Breaking Bad Movie,Making-of,"October 29, 2019",13,7.2,English
Zion ,Documentary,"August 10, 2018",11,7.2,English
Extremis,Documentary,"September 13, 2016",24,7.3,English
Octonauts & the Great Barrier Reef,Animation,"October 13, 2020",47,7.3,English
Sitara: Let Girls Dream,Animation / Short,"March 8, 2020",15,7.3,English
Fire in Paradise,Documentary,"November 1, 2019",39,7.4,English
Long Shot,Documentary,"September 29, 2017",40,7.4,English
Period. End of Sentence.,Documentary,"February 12, 2019",26,7.4,English/Hindi
The Irishman: In Conversation,Aftershow / Interview,"November 27, 2019",23,7.4,English
The Speed Cubers,Documentary,"July 29, 2020",40,7.4,English
The White Helmets,Documentary,September 16. 2016,40,7.5,English
Anima,Musical / Short,"June 27, 2019",15,7.7,English
If Anything Happens I Love You,Animation / Short,"November 20, 2020",12,7.8,English
Dancing with the Birds,Documentary,"October 23, 2019",51,8.3,English
